,Unnamed: 0,nodes,id,avg_avg_fit,min_best_fit,max_best_fit,avg_best_fit,prop_fit_enough,avg_peak_sd,prop_together,num_edges,two_cycles,long_cycles,strongly_connected
276,276,14,31,2.445413924298013,3.1519630081079013,5.923370034059077,4.156537752491408,0.0,0.0,0.0,42,9,424,False
277,277,14,342,2.3809947237142284,3.301416965618839,4.675382488965924,4.072681253201141,0.0,0.0,0.0,41,5,236,True
278,278,14,21,2.1135446884226043,2.3856391299055537,4.698556301464329,3.7948378228688098,0.0,0.0,0.0,43,3,80,False
279,279,14,324,2.405960779407228,3.702498289395325,5.611511706890359,4.510077968967357,0.0,0.0,0.0,43,7,339,True
280,280,14,435,2.3283359428031183,2.6620050651655185,4.2547530526172235,3.648437843035208,0.0,0.0,0.0,41,2,169,True
281,281,14,158,2.37977268567237,2.647555914584355,7.098757638850138,4.459146987793694,0.0,0.0,0.0,45,5,365,False
282,282,14,208,2.48968291538758,3.4073428807128834,6.791310125318316,4.57280256775015,0.0,0.0,0.0,46,7,370,False
283,283,14,1,2.5736393204966306,3.3420374328018347,6.789230086585072,4.587659962233723,0.0,0.0,0.0,40,5,390,True
284,284,14,354,2.020117992493195,2.746044473717568,5.025585357105292,3.6278788055396567,0.0,0.0,0.0,42,6,114,False
285,285,14,127,2.437071578575249,2.9581834873158463,5.727670624467425,4.157309730157229,0.0,0.0,0.0,46,6,264,False
286,286,14,407,2.523089802600455,3.0131224924382662,6.075756630810691,4.56729996900795,0.0,0.0,0.0,42,7,608,False
287,287,14,249,2.578383809558025,2.9897282840565014,5.76859718071452,4.578019019383446,0.0,0.0,0.0,46,8,928,True
288,288,14,384,2.18244467688302,2.7804658692028057,5.695947414147457,4.068184711229322,0.0,0.0,0.0,45,6,568,True
289,289,14,255,1.874936289734503,2.6275328621452605,4.269554501048454,3.3429333608417444,0.0,0.0,0.0,44,5,678,True
290,290,14,167,2.034084303546253,3.1082176550037874,4.693970870943919,3.788907743605437,0.0,0.0,0.0,43,5,344,False
291,291,14,70,2.377658986874491,3.03096247407582,5.473559365040525,4.265108012990703,0.0,0.0,0.0,44,9,340,True
292,292,14,152,2.015343442526673,2.3974535241398045,4.42181177892363,3.68728301606136,0.0,0.0,0.0,43,5,364,False
